key,location
firewall,"Next to the postroom entrance"
genesis,"Next to the coffee machine, 5th floor"
pipeline,"Taped beneath the main conference table in Honeysuckle"
nexus,"Underneath the ABP's storage cabinet on the 5th floor"
infinity,"In the women's gym changing room"
zenith,"Near the recycling bins, 5th floor microkitchen"
repository,"Next to Warrick's Google Cloud in Action library"
eternity,"In the rowboat on the 6th floor landing"
catalyst,"Tucked behind the large plant in reception"
debug,"Amongst the network cables under Desk 7A"
vector,"On the windowsill overlooking the main road on the 4th floor"
mainframe,"In the 9th floor library"
lambda,"Pinned to the 'Quiet Zone' noticeboard"
chronos,"Beneath the visitor sign-in tablet"
singularity,"In the 2nd bike space in the basement"
oracle,"Inside the empty water cooler bottle stack"
compile,"On the whiteboard eraser tray, Meeting Room 'Jupiter'"
cache,"Behind the fire extinguisher, ground floor lobby"
quantum,"By the communal phone charging station on the 7th"
enigma,"Taped discreetly to the back of the snack vending machine"
aether,"Inside the lost and found box"
cluster,"Near the large world map on the 9th floor wall"
cipher,"Under the pile of spare keyboards"
paradox,"On the small table by the emergency exit, floor 1 stairwell"
continuum,"Behind the CEO's abstract painting"
apex,"Next to the stationary cupboard, floor 8"
void,"Under the smallest chair in the break room"
